time,lasttime,lat,lng,speed,course,altitude,comment
2021-11-11 17:18:42,2021-11-11 17:18:42,49.07755,-122.90556,,,1728.93,"5_Pu/H*&5_N\!/H+%5_K4/H-&P&>P4/PD*!"
2021-11-11 17:19:43,2021-11-11 17:19:43,49.08092,-122.89935,35,,1906.76,"5_E:/H3R5_Ap/H6Y5_=&/H9\!P_!Pm*Px*!"
2021-11-11 17:20:43,2021-11-11 17:20:43,49.08465,-122.89153,42,,2081.98,"5_7=/HAZ5_3E/HFI5_/9/HJsQ4!Q@/QJ//"
2021-11-11 17:21:43,2021-11-11 17:21:43,49.08796,-122.88626,32,,2210.59,"5_&t/HQx5_#8/HT)5^{\!/HWgQ\\!Qd!Qk*!"
2021-11-11 17:22:43,2021-11-11 17:22:43,49.09089,-122.88237,26,,2337.78,"5^tj/H[&5^qU/H]>5^nY/H_5Qx*R%!R+**"
2021-11-11 17:23:43,2021-11-11 17:23:43,49.09373,-122.87796,27,,2477.24,"5^hc/Hc95^eG/Hec5^bR/Hh&R:!RB!RI**"
2021-11-11 17:24:43,2021-11-11 17:24:43,49.09692,-122.87261,32,,2625.02,"5^]g/Hle5^YA/HoN5^Vp/HrPRW*R_*Rf!!"
2021-11-11 17:25:43,2021-11-11 17:25:43,49.09988,-122.86655,33,,2759.47,"5^Oo/Hx`5^Ky/H!B5^Hp/I$>Rs*Rz!S%!*"
2021-11-11 17:26:43,2021-11-11 17:26:43,49.10241,-122.86008,33,,2895.01,"5^B\!/I*B5^?9/I-S5^=f/I0\'S1!S7!S=!*"
2021-11-11 17:27:43,2021-11-11 17:27:43,49.10469,-122.85194,39,,3025.10,"5^8n/I8j5^6=/I<v5^3!/IABSI!SN*ST*!"
2021-11-11 17:28:43,2021-11-11 17:28:43,49.10669,-122.84201,45,,3161.04,"5^/f/IJV5^-s/IO\\5^+n/IT3S^!Sc!Si!*"
2021-11-11 17:29:43,2021-11-11 17:29:43,49.10889,-122.83201,46,,3289.91,"5^&t/I_+5^$H/Id]5^\!6/Ij/St!Sy!T#!!"
2021-11-11 17:30:43,2021-11-11 17:30:43,49.11037,-122.82119,48,,3424.04,"5]yF/Iu05]wm/Izc5]vJ/J%KT-!T2!T7!!"
2021-11-11 17:31:43,2021-11-11 17:31:43,49.11178,-122.81030,48,,3570.76,"5]sP/J0&5]r\!/J6m5]pX/J<jTA!TF!TL!!"
2021-11-11 17:32:43,2021-11-11 17:32:43,49.11378,-122.79723,59,,3731.22,"5]mA/JIW5]k;/JOC5]is/JV;TW!T\\!Ta**"
2021-11-11 17:33:43,2021-11-11 17:33:43,49.11542,-122.78163,69,,3883.34,"5]dG/Je-5]b0/Jmx5]`</JufTl*Tr!Tv!!"
2021-11-11 17:34:43,2021-11-11 17:34:43,49.11702,-122.76526,72,,4009.49,"5]][/K+L5]\\=/K4>5][g/K<7U$!U(!U+!!"
2021-11-11 17:35:43,2021-11-11 17:35:43,49.11815,-122.74715,79,,4123.23,"5]Xz/KOS5]Wc/KX&5]U;/KaXU3!U7!U;!!"
2021-11-11 17:36:43,2021-11-11 17:36:43,49.11807,-122.72786,84,,4231.73,"5]Tp/Ktk5]SR/L#f5]SP/L--UA!UE!UH!!"
2021-11-11 17:37:43,2021-11-11 17:37:43,49.11830,-122.70738,89,,4343.08,"5]Ta/LBB5]SK/LM@5]S$/LXHUN!UR!UU!!"
2021-11-11 17:38:43,2021-11-11 17:38:43,49.11849,-122.68676,90,,4448.47,"5]Sg/LnF5]Sg/Ly45]Sw/M(wU[!U^!Ua!!"
2021-11-11 17:39:43,2021-11-11 17:39:43,49.11840,-122.66612,90,,4565.53,"5]S\!/M>L5]Su/MH85]S*/MSyUg!Uk!Un!!"
2021-11-11 17:40:43,2021-11-11 17:40:43,49.11775,-122.64518,91,,4685.67,"5]T3/Mhg5]U!/Mtx5]UH/N$HUt!Ux!U{!!"
2021-11-11 17:41:44,2021-11-11 17:41:44,49.11617,-122.62414,91,,4828.22,"5]W*/N:k5]X1/NE[5]Zj/NOOV\'!V*!V.!!"
2021-11-11 17:42:44,2021-11-11 17:42:44,49.11511,-122.60236,95,,4975.11,"5]]V/Nfr5]_y/NqI5]`\'/O\!/V6!V9!V=!!"
2021-11-11 17:43:44,2021-11-11 17:43:44,49.11414,-122.57902,102,,5106.03,"5]b:/O:B5]c>/OF\\5]d;/OR:VD!VH!VK!!"
2021-11-11 17:44:44,2021-11-11 17:44:44,49.11322,-122.55433,108,,5229.93,"5]f+/Ol+5]g!/Oy$5]h-/P*!VQ!VT!VW!!"
2021-11-11 17:45:44,2021-11-11 17:45:44,49.11195,-122.53014,106,,5367.55,"5]j@/PDR5]kI/PP95]my/P]0V^!Va!Vd!!"
2021-11-11 17:46:45,2021-11-11 17:46:45,49.11099,-122.50417,112,,5497.80,"5]o^/Pw[5]p\\/Q*+5]qR/Q7jVi!Vm!Vp!!"
2021-11-11 17:47:44,2021-11-11 17:47:44,49.11065,-122.47724,120,,5631.21,"5]s\'/QS*5]sH/QaI5]sZ/QoeVv!Vy!W!!!"
2021-11-11 17:48:44,2021-11-11 17:48:44,49.11088,-122.44987,119,,5767.86,"5]tx/R1^5]s[/R?/5]s=/RNbW\'!W*!W-!!"
2021-11-11 17:49:45,2021-11-11 17:49:45,49.11149,-122.42149,122,,5907.82,"5]rH/Rk/5]q_/Rz%5]qy/S-rW3!W6!W9!!"
2021-11-11 17:50:45,2021-11-11 17:50:45,49.11204,-122.39367,121,,6039.10,"5]oI/SKc5]nO/SYR5]n$/ShFW?!WB!WE!!"
2021-11-11 17:51:44,2021-11-11 17:51:44,49.11151,-122.36600,123,,6160.97,"5]n5/T*Z5]oo/T8/5]o^/TGTWJ!WM!WO!!"
2021-11-11 17:52:45,2021-11-11 17:52:45,49.11098,-122.33928,115,,6285.31,"5]pb/Tc:5]q5/TqW5]qh/U$iWT!WV!WX!!"
2021-11-11 17:54:44,2021-11-11 17:54:44,49.10956,-122.28444,121,,6528.50,"5]v=/Uy<5]vp/V-/5]wG/V;$Wg!Wi!Wl!!"
2021-11-11 17:58:44,2021-11-11 17:58:44,49.09865,-122.17813,117,,7156.96,"5^>`/XHg5^B</XWq5^G`/Xe%X9!X<!X?!!"
2021-11-11 18:02:45,2021-11-11 18:02:45,49.08309,-122.06424,126,,7799.03,"5_\'H/Zz*5_+A/[/*5_.l/[?3Xe!Xg!Xj!!"
2021-11-11 18:03:45,2021-11-11 18:03:45,49.08000,-122.03271,139,,7940.54,"5_4%/[_t5_77/[pW5_;k/\\&AXn!Xp!Xr!!"
2021-11-11 18:04:45,2021-11-11 18:04:45,49.07692,-122.00024,143,,8084.61,"5_A3/\\G_5_ET/\\Y+5_Hn/\\jBXw!Xy!X{!!"
2021-11-11 18:06:45,2021-11-11 18:06:45,49.07080,-121.93614,141,,8397.42,"5_YK/]sZ5_]0/^*B5_ap/^:(Y.!Y1!Y3!!"
2021-11-11 18:07:45,2021-11-11 18:07:45,49.06617,-121.90327,147,,8584.03,"5_hF/^[\\5_mF/^m\!5_rI/_#[Y9!Y<!Y>!!"
2021-11-11 18:08:45,2021-11-11 18:08:45,49.06085,-121.86883,155,,8739.78,"5`\!e/_GX5`(O/_Yc5`-v/_k-YC!YE!YH!!"
2021-11-11 18:09:45,2021-11-11 18:09:45,49.05545,-121.83334,159,,8916.16,"5`8R/`3o5`>S/`Ge5`C5/`YYYM!YO!YR!!"
2021-11-11 18:13:45,2021-11-11 18:13:45,49.03420,-121.68182,169,,9542.90,"5a7;/c\\C5a<q/cpP5aBE/d)aYp!Yr!Yt!!"
2021-11-11 18:15:45,2021-11-11 18:15:45,49.02502,-121.60133,179,,9892.34,"5a`(/eJV5aeo/e_j5ajm/eu\\Z&!Z(!Z+!!"
